"traitID","unitOfMeasure","methodsID","value","family","species","sourceID","initialYearSampling","initialMonthSampling","initialDaySampling","finalYearSampling","finalMonthSampling","finalDaySampling","seasons","weatherAnomaly","lifeStage","country","stateProvince","municipality","localidade","decimalLatitude","decimalLongitude","altitude","typeVegatation","notes"
"VA","","","11.4","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","","5.7","Rubiaceae","Coussarea albescens","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","","7.2","Humiriaceae","Endopleura uchi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VA","","","11.2","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","",,"Sapotaceae","Manilkara huberi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","","4.3","Lauraceae","Mezilaurus itauba","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VA","","","4.9","Melastomataceae","Miconia lepidota","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","",,"Olacaceae","Minquartia guianensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"VA","","","5","Burseraceae","Protium apiculatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VA","","","9.2","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"VA","","",,"Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"Kh","","","1.5","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"Kh","","","9.7","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","","1.6","Rubiaceae","Coussarea albescens","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","","7.9","Humiriaceae","Endopleura uchi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"Kh","","","5.6","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","",,"Sapotaceae","Manilkara huberi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","","123","Lauraceae","Mezilaurus itauba","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"Kh","","","4","Melastomataceae","Miconia lepidota","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","",,"Olacaceae","Minquartia guianensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"Kh","","","7.5","Burseraceae","Protium apiculatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"Kh","","","0.6","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"Kh","","",,"Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"Dh","","","15.1","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
